datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
2019-11-01 00:00:00,294.50113171222256,289.2321143071354,297.41536359176905,300.9216307615935,294.50690276048385,298.293945524904,304.2072480639314,286.9737106283555,300.49871235983045,294.5529663815713,281.9985054147408,289.8907928442856,282.1210497234763,284.9344051244232,302.0625118369757,297.9848710496435,291.5629435690995,303.4824701468912,292.0847033700465,281.39213555044483,296.58109192848787,295.76531001942203,286.2936659268289,307.0175320814563,293.80315284467184,293.0453673932975,291.73484949259034,286.4236831537723,299.91080708709217,287.6154373059518,293.6914824920856,303.05291970436963,302.44406583660486,295.9381353897476,291.2656446957281,299.3793314532609
2019-11-01 04:00:00,294.0053018932539,308.98198846787466,298.0545598920766,306.56442582927133,300.0199228294391,283.7023783391912,296.2544535410497,298.39847385480675,296.9155612444106,294.1307052800141,286.057900978618,284.37999036967994,280.23786032949926,304.3379536805445,289.90824287256874,294.36824873898865,285.2055050925542,290.187491123358,284.20295262836026,289.46728118491023,289.35611600587873,287.1030689949946,294.6180721839362,304.61212286764817,289.3136854556116,304.0022591755564,296.3045272988853,296.36346887191286,296.64287515180246,309.8248531535505,294.9350026315626,284.61964043457675,308.04664008112843,301.17822618149904,286.6252238514523,285.6972256347468
2019-11-01 08:00:00,292.6231609568551,297.0663319725541,307.76886449080854,308.19133769933734,302.71581934750213,296.88152164377345,294.77529908109153,307.5365924480068,305.0744498399522,288.3459895801679,307.80144146779963,307.8298278357847,281.55947675777304,296.54542855725094,290.2918803825514,305.67580101518075,298.83017836459896,280.00178663610325,300.80731316091124,288.3266742961999,281.75429362310524,287.7387373012674,300.3663907128532,295.77483149895147,293.51394180102363,303.28262158818103,296.97437315971376,285.1553117935499,298.97510491171374,297.9560494541065,286.0072027078072,309.38621281545227,292.1982255761666,302.2749988953298,303.8749021306544,293.1391894041881
2019-11-01 12:00:00,299.5671341794717,292.53237930639966,280.72422195142497,301.8029414265844,301.57238472753244,281.56995373828454,303.4833416880552,291.4306044661222,291.94301281594755,287.50338900838574,284.54665447513275,286.94664275936685,294.6782201840043,288.62787444436844,308.2482324419109,286.4908525035755,283.43308543890583,295.2489289891369,281.4783420883323,285.2815225593936,301.42240878471466,290.7586772112503,298.43348897182585,287.7207887335948,309.8630132615283,280.4319324509386,280.88816504303446,299.3489732804157,309.29581444966584,284.40034392254216,288.04678033194864,306.71073198846284,285.3174329948678,297.193283511432,284.82795712006504,296.2148320048208
2019-11-01 16:00:00,289.69587461949465,289.50483405594986,294.36496391409963,300.7129373676792,295.6078859669288,293.2024034219561,292.47808774714224,308.4578240324193,307.17565143454067,300.15438714918525,298.53220853932726,295.3353022454879,286.61202250369234,294.373561625201,288.20866660840966,280.0938554481079,284.741177561888,293.46504576170264,309.22487021836594,296.6259344097954,284.94539053883324,299.4186267895174,284.8145335613407,289.8118602400017,291.8502156142591,306.6118109136769,300.76903503236366,303.4257269510992,306.2953025637503,293.32795065401234,282.9045188110256,300.3230397889583,305.6595539291207,300.3122399164963,297.2952035463058,290.07316694269053
2019-11-01 20:00:00,300.05185477624474,284.4765868176102,287.8961728459545,306.9848079713958,285.1056576887035,300.19354450251706,282.35838232871214,280.37871274464845,299.58873246645214,301.4165500418362,281.1724416247412,295.85329012897506,294.6132188944854,295.99287304866465,280.7118226289373,285.3964860058481,302.00576525753803,285.8676030678905,291.52208803660466,309.7362705482096,301.39826041115845,295.9852634006765,304.8480655530431,281.0338024266592,290.47131605160763,296.5886445907147,304.7754362581455,285.91919650844864,309.518120242727,306.5390485610637,308.2657517390794,299.5040095011668,303.0941407342696,308.1871099825653,307.5603796080742,281.99629875535254
2019-11-02 00:00:00,301.1100357724019,285.6140237205967,305.1066590662788,283.9283631260934,300.3050817465057,284.044136702283,298.9178694920097,283.5636694879605,280.02420222389736,308.8515681845759,295.2090118788305,281.0162895708437,295.9654442475895,290.9099143632229,282.4895272580944,286.76371910008066,300.6734306652113,309.84888593389456,288.14419246841,306.37613725973404,285.05901828326574,283.7498933877706,280.558621525125,283.7754662612231,294.0721157038341,296.6899441993713,284.72152726680355,281.83568356289953,302.1275864187066,295.26084123903314,292.4184702691573,293.5466495907625,298.19636269060305,282.1351288158162,303.46260203853217,291.8647649656481
2019-11-02 04:00:00,286.34403414748306,303.3789759576133,289.0599802843563,282.3215098237285,309.2980971767408,284.9267591999429,281.05778854904315,295.9909679481942,293.1205559701973,306.9865311742327,292.2082369645019,303.8987512013091,294.53638063463035,289.1479512752204,303.529349349996,293.1793823095093,297.9722020458953,283.40783505579765,297.6929835833472,286.6412421713875,283.4295278129704,294.1736060649766,293.14959757804786,290.062263718906,301.4184579936155,290.18563469886993,298.649732268094,280.1006422714368,280.2941221408798,303.9832589570139,287.4378063872668,299.52472423911564,304.8159576421708,284.8030213000053,305.5996077936626,286.90713142022514
2019-11-02 08:00:00,297.8485034385928,287.3278269704136,288.3946501517999,301.2309369594399,304.4909412096493,302.86867582174085,297.9829566229652,294.9586312970848,309.0094072198308,297.56910370343263,301.3173432730893,300.8046134472375,293.44917166348955,293.3087132590975,304.7720092468099,291.2985688779904,303.5982340943277,291.5610487325233,307.0798589284075,282.5671157798438,305.0672542383301,284.4166187088336,288.9009126934221,304.815289882646,306.07120497115505,304.9435848766512,307.6918741222076,309.020148202804,290.3042333188017,290.47898757268297,307.584623075473,296.3113437848754,300.9744150440999,300.347655300601,293.6958153160652,293.3605222790165
2019-11-02 12:00:00,301.8039380849906,286.5957449265416,300.28629665916964,289.29108784334835,292.9290026536813,288.1656920276404,295.3219244793653,309.4752513967748,308.8195032937825,298.33355293343016,295.3351779239251,288.6890309857386,291.79516279304664,305.09612665895145,293.4021746472057,288.2417117437329,284.50754385750054,295.8633091678725,306.51539699080735,304.34149127415344,298.8929936097386,292.92810555989706,282.9951556153338,303.37160595639506,291.0316152381724,283.89678053596737,297.98343662650177,286.83148452402696,282.5967996155516,281.5824258213566,297.2983270309456,286.0646338281269,280.7263588977213,298.2004302416787,291.9119767033636,297.15836365753137
